ID,lon,lat
1,118.75,32.25
2,118.75,32
3,118.75,31.75
4,118.75,31.5
5,118.75,31.25
6,118.75,31
7,118.75,30.75
8,118.75,30.5
9,118.75,30.25
10,118.75,30
11,118.75,29.75
12,119,32.25
13,119,32
14,119,31.75
15,119,31.5
16,119,31.25
17,119,31
18,119,30.75
19,119,30.5
20,119,30.25
21,119,30
22,119,29.75
23,119.25,32.25
24,119.25,32
25,119.25,31.75
26,119.25,31.5
27,119.25,31.25
28,119.25,31
29,119.25,30.75
30,119.25,30.5
31,119.25,30.25
32,119.25,30
33,119.25,29.75
34,119.5,32.25
35,119.5,32
36,119.5,31.75
37,119.5,31.5
38,119.5,31.25
39,119.5,31
40,119.5,30.75
41,119.5,30.5
42,119.5,30.25
43,119.5,30
44,119.5,29.75
45,119.75,32.25
46,119.75,32
47,119.75,31.75
48,119.75,31.5
49,119.75,31.25
50,119.75,31
51,119.75,30.75
52,119.75,30.5
53,119.75,30.25
54,119.75,30
55,119.75,29.75
56,120,32.25
57,120,32
58,120,31.75
59,120,31.5
60,120,31.25
61,120,31
62,120,30.75
63,120,30.5
64,120,30.25
65,120,30
66,120,29.75
67,120.25,32.25
68,120.25,32
69,120.25,31.75
70,120.25,31.5
71,120.25,31.25
72,120.25,31
73,120.25,30.75
74,120.25,30.5
75,120.25,30.25
76,120.25,30
77,120.25,29.75
78,120.5,32.25
79,120.5,32
80,120.5,31.75
81,120.5,31.5
82,120.5,31.25
83,120.5,31
84,120.5,30.75
85,120.5,30.5
86,120.5,30.25
87,120.5,30
88,120.5,29.75
89,120.75,32.25
90,120.75,32
91,120.75,31.75
92,120.75,31.5
93,120.75,31.25
94,120.75,31
95,120.75,30.75
96,120.75,30.5
97,120.75,30.25
98,120.75,30
99,120.75,29.75
100,121,32.25
101,121,32
102,121,31.75
103,121,31.5
104,121,31.25
105,121,31
106,121,30.75
107,121,30.5
108,121,30.25
109,121,30
110,121,29.75
111,121.25,32.25
112,121.25,32
113,121.25,31.75
114,121.25,31.5
115,121.25,31.25
116,121.25,31
117,121.25,30.75
118,121.25,30.5
119,121.25,30.25
120,121.25,30
121,121.25,29.75
122,121.5,32.25
123,121.5,32
124,121.5,31.75
125,121.5,31.5
126,121.5,31.25
127,121.5,31
128,121.5,30.75
129,121.5,30.5
130,121.5,30.25
131,121.5,30
132,121.5,29.75
133,121.75,32.25
134,121.75,32
135,121.75,31.75
136,121.75,31.5
137,121.75,31.25
138,121.75,31
139,121.75,30.75
140,121.75,30.5
141,121.75,30.25
142,121.75,30
143,121.75,29.75
144,122,32.25
145,122,32
146,122,31.75
147,122,31.5
148,122,31.25
149,122,31
150,122,30.75
151,122,30.5
152,122,30.25
153,122,30
154,122,29.75
